,Value
0,0.9999999999999993
1,0.9999999999999993
2,0.9999999999999993
3,0.9999999999999993
4,0.9999999999999993
5,1.001123313571445
6,1.0017969218282838
7,1.0017969218282838
8,1.002027922059284
9,1.002027922059284
10,0.9994424036189827
11,0.9971307088261231
12,0.997144752192037
13,0.9976229289925581
14,0.9958659171558907
15,0.9958659171558907
16,0.996065070027578
17,1.0001504583873442
18,1.0004323909609436
19,1.0004901321265454
20,1.000791525363402
21,1.000791525363402
22,1.000791525363402
23,1.000791525363402
24,1.000791525363402
25,1.000791525363402
26,1.000791525363402
27,1.000791525363402
28,1.000791525363402
29,1.0029939647510926
30,1.0038900220987628
31,1.0050505116563395
32,1.0051964312148667
33,1.0053629655279637
34,1.0053629655279637
35,1.005722326742492
36,1.0071245318155282
37,1.0071245318155282
38,1.0074797809168083
39,1.0076017916537532
40,1.0079776414366486
41,1.0079776414366486
42,1.0079776414366486
43,1.0079776414366486
44,1.0079776414366486
45,1.0079875096366628
46,1.0079875096366628
47,1.008237168980235
48,1.0109895007328915
49,1.0109895007328915
50,1.0142118506182978
51,1.0144602361125847
52,1.0154365659860725
53,1.0166499939590263
54,1.0182682445641966
55,1.018394810384202
56,1.0193183576101748
57,1.0209811112818838
58,1.0211594485864337
59,1.0220194359330446
60,1.0243940460208063
61,1.0246292148847884
62,1.0265049549564673
63,1.0265049549564673
64,1.0265049549564673
65,1.0265049549564673
66,1.0239581130910373
67,1.0245491404253326
68,1.0202304298946356
69,1.0203653506397683
70,1.0203653506397683
71,1.026635451091854
72,1.0268948976818115
73,1.0268948976818115
74,1.0268948976818115
75,1.0269828278300062
76,1.0274498143934605
77,1.0274498143934605
78,1.0274498143934605
79,1.0274498143934605
80,1.0274498143934605
81,1.0268099621188507
82,1.0268099621188507
83,1.026647250230683
84,1.026647250230683
85,1.0270787092893834
86,1.0226787367269563
87,1.0226787367269563
88,1.0214883991719508
89,1.023107095063229
90,1.0226207597447645
91,1.0228326707728674
92,1.0241745601270862
93,1.024217404398925
94,1.024033843588022
95,1.0248497790594746
96,1.0248497790594746
97,1.0306578737736916
98,1.0306578737736916
99,1.02945852492982
100,1.0247762860200644
101,1.0250091473146719
102,1.0250091473146719
103,1.0250091473146719
104,1.0250091473146719
105,1.027014325440539
106,1.0257212920410312
107,1.0258353574064922
108,1.0259161387827131
109,1.0263888928248914
110,1.0263888928248914
111,1.0300695866588607
112,1.0272022354816535
113,1.0272022354816535
114,1.0282243730886673
115,1.0282243730886673
116,1.0297816185194055
117,1.0300647127765452
118,1.0300647127765452
119,1.0307761055225246
120,1.0307761055225246
121,1.0307761055225246
122,1.0307761055225246
123,1.0307761055225246
124,1.0315287905201833
125,1.0315287905201833
126,1.029941389010311
127,1.0324823664009224
128,1.0326001059060588
129,1.0352437397080259
130,1.035569161275733
131,1.0370881732888335
132,1.0372928815333728
133,1.0384207882430654
134,1.0389873140965011
135,1.0393492470103882
136,1.0408450211937812
137,1.0408450211937812
138,1.0338139595588416
139,1.0298894362259592
140,1.03006488709117
141,1.0338122812296668
142,1.0340951387374115
143,1.0371227491763775
144,1.0374379111107368
145,1.0395543818976787
146,1.0395543818976787
147,1.0415248244267694
148,1.0422745658285995
149,1.04241880223903
150,1.04241880223903
151,1.0494280893859387
152,1.0502556269642858
153,1.0507852479096726
154,1.0508957220809487
155,1.0508957220809487
156,1.0510370604181096
157,1.0513668509487284
158,1.0523404504201113
159,1.0527294625955625
160,1.0527294625955625
161,1.05355366632377
162,1.058460776846675
163,1.059570831723922
164,1.0597785044459498
165,1.0586083039265146
166,1.0586083039265146
167,1.0586083039265146
168,1.0586083039265146
169,1.0586083039265146
170,1.058990314797839
171,1.0579332689162073
172,1.0579332689162073
173,1.0611809075121659
174,1.061315295121535
175,1.0629351359211021
176,1.0634822650827853
177,1.0639198032621526
178,1.0637185530788231
179,1.0642094105587474
180,1.0656590856830086
181,1.0656590856830086
182,1.0660529111662491
183,1.0682690148615408
184,1.0675756058150119
185,1.0698798403109777
186,1.0704116950299598
187,1.0721429531908322
188,1.0637255106204777
189,1.0613937584077273
190,1.0613937584077273
191,1.0591492310127602
192,1.0593098461303958
193,1.057878833705385
194,1.0581252691669063
195,1.0581252691669063
196,1.0581252691669063
197,1.0526181498128555
198,1.0526181498128555
199,1.0526181498128555
200,1.0531858489573906
201,1.0531858489573906
202,1.0532690877597293
203,1.0520934038731293
204,1.0460631190800735
205,1.0461858561655921
206,1.0436036856049367
207,1.0425854246123718
208,1.0425854246123718
209,1.0425854246123718
210,1.0376735308428569
211,1.03628716905444
212,1.03628716905444
213,1.03628716905444
214,1.03628716905444
215,1.03628716905444
216,1.0364556255905244
217,1.0383557656994251
218,1.0383557656994251
219,1.035988515270996
220,1.035988515270996
221,1.035988515270996
222,1.0336181548578247
223,1.0336181548578247
224,1.0336181548578247
225,1.0336181548578247
226,1.0379933979808453
227,1.0412164701040698
228,1.0396806468161046
229,1.0408743100231037
230,1.0415000302668553
231,1.0415000302668553
232,1.0419324738415097
233,1.0425438000736778
234,1.0452790907944325
235,1.045783321033924
236,1.0461745204121804
237,1.0461745204121804
238,1.0461745204121804
239,1.046309170012532
240,1.046309170012532
241,1.0472662153790087
242,1.048068252622787
243,1.048068252622787
244,1.048068252622787
245,1.048068252622787
246,1.0511050786968592
247,1.0513947772504948
248,1.0522528479182307
249,1.0539103502780047
250,1.055039670121912
251,1.055039670121912
252,1.0538924031239592
253,1.0538924031239592
254,1.0538924031239592
255,1.0538924031239592
256,1.0502830408561243
257,1.0502830408561243
258,1.0505039594144603
259,1.0508476991700024
260,1.0508476991700024
261,1.0508476991700024
262,1.0508476991700024
263,1.0510852023985398
264,1.0512334478353231
265,1.0513752444716353
266,1.0513752444716353
267,1.0518337300294298
268,1.0528870523888576
269,1.0528870523888576
270,1.0528870523888576
271,1.0528870523888576
272,1.0528870523888576
273,1.0542080551751936
274,1.0548894909519253
275,1.0548894909519253
276,1.0557741257506243
277,1.0557741257506243
278,1.0557741257506243
279,1.0557741257506243
280,1.0557741257506243
281,1.0560397292073016
282,1.0608193709920675
283,1.0610432216789567
284,1.059803532136369
285,1.0603936748000395
286,1.061048899646065
287,1.0598290868978852
288,1.0598290868978852
289,1.0542890688315405
290,1.0550100788183792
291,1.0550995780269399
292,1.0550995780269399
293,1.057212812597452
294,1.0569797583141864
295,1.060224119463839
296,1.0589853989800797
297,1.0594076718811394
298,1.059673531516712
299,1.0616388814633086
300,1.0616388814633086
301,1.0616388814633086
302,1.062835708048567
303,1.0631401036732915
304,1.0631401036732915
305,1.0631401036732915
306,1.0631401036732915
307,1.0631401036732915
308,1.0648887666039004
309,1.0681265528249142
310,1.0681265528249142
311,1.068060134342439
312,1.068060134342439
313,1.0682015075649798
314,1.0709467952248286
315,1.0701025242835092
316,1.0719720435192073
317,1.0693967683704821
318,1.070082216781156
319,1.0709885909083159
320,1.0694109574480417
321,1.0694169987988296
322,1.0694708705646536
323,1.069824839502999
324,1.069824839502999
325,1.069824839502999
326,1.069824839502999
327,1.0703530610261842
328,1.0705765628833899
329,1.0711256382828076
330,1.0711256382828076
331,1.0711256382828076
332,1.0711256382828076
333,1.0724990931026812
334,1.0659134611815724
335,1.0596136132440575
336,1.0601412571311364
337,1.0601412571311364
338,1.0601412571311364
339,1.0614483414254903
340,1.0598157643428328
341,1.0605397638488143
342,1.0606556384862886
343,1.0606556384862886
344,1.0626174966394275
345,1.0627338622711282
346,1.0663313850079614
347,1.0663313850079614
348,1.0663313850079614
349,1.0663313850079614
350,1.071224923436779
351,1.0725305237230076
352,1.0725305237230076
353,1.0725775555758281
354,1.0773824951299737
355,1.0773824951299737
356,1.0779748840489172
357,1.0722474248283471
358,1.073921067137126
359,1.073921067137126
360,1.073921067137126
361,1.0742974950086916
362,1.0756501663576683
363,1.0765203758991762
364,1.0769811279539026
365,1.0751494448684464
366,1.0753936585396733
367,1.0765968527615752
368,1.0693577365196236
369,1.0679719212969652
370,1.0683097234452477
371,1.0683097234452477
372,1.0683097234452477
373,1.0683097234452477
374,1.0685397153600713
375,1.0674105235829432
376,1.0665300328007428
377,1.0665300328007428
378,1.0665300328007428
379,1.0665300328007428
380,1.0665300328007428
381,1.0665300328007428
382,1.0670588471818632
383,1.067661731815446
384,1.0679699696816478
385,1.0686052002295223
386,1.0686212306352814
387,1.0696138763782985
388,1.0696138763782985
389,1.0705486388396894
390,1.0705486388396894
391,1.0705486388396894
392,1.0705486388396894
393,1.073641121080657
394,1.073641121080657
395,1.0736173738765151
396,1.0736997483284627
397,1.0744316605605022
398,1.0744316605605022
399,1.0744316605605022
400,1.0744316605605022
401,1.074597153048659
402,1.074597153048659
403,1.075023535462138
404,1.0755970682369635
405,1.0755970682369635
406,1.0755970682369635
407,1.0757378054889082
408,1.0757378054889082
409,1.0758926400096127
410,1.0692671656522759
411,1.0692671656522759
412,1.0707975457873218
413,1.070875620984731
414,1.071804032709705
415,1.071804032709705
416,1.071804032709705
417,1.071804032709705
418,1.071804032709705
419,1.068109155027049
420,1.0652318855958487
421,1.0652318855958487
422,1.0653109571810744
423,1.0653109571810744
424,1.0660202685887537
425,1.0660202685887537
426,1.0660202732414417
